R(3,6)| 1 2 3 4  5  6   7   8    9   10    11     12     13     14    15   16 17|      
------+-------------------------------------------------------------------------+------
     0| 1 1 1 1  1                                                              |5     
     1|   1 1 1  1  1                                                           |5     
     2|     1 2  2  2   1                                                       |8     
     3|       2  3  4   3   1                                                   |13    
     4|       1  4  7   7   3    1                                              |23    
     5|          2  9  13  10    2    1                                         |37    
     6|          1  7  20  23    8    1                                         |60    
     7|             4  20  44   26    5                                         |99    
     8|             2  18  63   70   16     1                                   |170   
     9|             1  11  73  142   60     3                                   |290   
    10|                 5  63  234  175    16                                   |493   
    11|                 1  40  284  451    64      1                            |841   
    12|                 1  21  267  864   265      4                            |1422  
    13|                     9  185 1255   900     20                            |2369  
    14|                     3  106 1344  2353    119                            |3925  
    15|                     2   47 1114  4444    644      1                     |6252  
    16|                     1   22  707  6134   2693      4                     |9561  
    17|                          8  377  6239   7968     45                     |14637 
    18|                          3  167  4823  16445    375                     |21813 
    19|                          1   71  2885  23986   2402                     |29345 
    20|                          1   28  1405  25267  10176      1              |36878 
    21|                              13   565  19704  27975     16              |48273 
    22|                               4   206  11672  51188    177              |63247 
    23|                               2    64   5404  64221   1588              |71279 
    24|                               1    20   2016  56809   8494              |67340 
    25|                               1     6    630  36312  27013     1        |63963 
    26|                                     2    169  17208  53157     7        |70543 
    27|                                           41   6189  67224   101        |73555 
    28|                                            8   1729  56478   822        |59037 
    29|                                            1    377  32235  3998        |36611 
    30|                                                  66  12784 10910        |23760 
    31|                                                   8   3550 17552        |21110 
    32|                                                   1    699 16896    5   |17601 
    33|                                                         94  9957   39   |10090 
    34|                                                          9  3587  200   |3796  
    35|                                                          1   794  547   |1342  
    36|                                                              100  803   |903   
    37|                                                                7  634   |641   
    38|                                                                   275   |275   
    39|                                                                    62   |62    
    40|                                                                    11  2|13    
    41|                                                                        3|3     
    42|                                                                        2|2     
------+-------------------------------------------------------------------------+------
      | 1 2 3 7 14 37 100 356 1407 6657 30395 116792 275086 263520 64732 2576  7|761692
